case_id,assertion_id,source,source_type,relationship,target,target_type,legacy_result,v1_result,legacy_reason,v1_reason,ontology_valid,evidence_supported,temporal_valid,contradiction_status,final_status,classification
C-002,bc328a27-e0e6-4087-be1e-b146b93ab002,E-d697c0b5,PERSON,ASSOCIATED_WITH,E-1cce2317,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,True,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-002,7b559577-b422-4dd5-b35b-d02d08554c66,E-d697c0b5,PERSON,ASSOCIATED_WITH,E-1cce2317,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,False,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-002,86cf2ea9-bcfc-4a13-9e46-2e8873058833,E-083b79df,CASE,LOCATED_AT,E-a2d14e6a,LOCATION,REJECTED,REJECTED,INVALID_PAIR,"Source type 'netra:Case' invalid for 'netra:LOCATED_AT'. Allowed: ['netra:Person', 'netra:Organization', 'netra:PhysicalObject']",False,True,True,False,REJECTED,LEGACY_FALSE_V1_FALSE
C-002,950b9404-8142-4dd2-b90d-8dd5d248ca6e,E-efba3695,PERSON,COMMUNICATES_WITH,E-8c8d8f16,PERSON,CONFIRMED,CONFIRMED,SUPPORTED,"ONTOLOGY_VALID, EVIDENCE_VERIFIED",True,True,True,False,CONFIRMED,LEGACY_TRUE_V1_TRUE
C-002,f0b7be4f-bcb2-4e8e-b0a4-4636f933948d,E-efba3695,PERSON,COMMUNICATES_WITH,E-8c8d8f16,PERSON,CONFIRMED,NEEDS_REVIEW,SUPPORTED,"ONTOLOGY_VALID, EVIDENCE_UNVERIFIED",True,False,True,False,NEEDS_REVIEW,LEGACY_TRUE_V1_FALSE
C-002,99cbc80c-f36c-494a-b5fc-372ee6184cdb,E-efba3695,PERSON,ASSOCIATED_WITH,E-44257817,CASE,REJECTED,REJECTED,INVALID_PAIR,"Target type 'netra:Case' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,True,True,False,REJECTED,LEGACY_FALSE_V1_FALSE
C-005,ee990ee6-e71a-4110-94bf-d558bdfa3798,E-aa146150,PERSON,INVOLVED_IN,E-a80a415a,PERSON,REJECTED,REJECTED,INVALID_PAIR,Target type 'netra:Person' invalid for 'netra:PARTICIPATED_IN'. Allowed: ['netra:Event'],False,True,True,False,REJECTED,LEGACY_FALSE_V1_FALSE
C-005,3e2adeb0-04f8-4185-898c-bff34c1b0cdd,E-02699e2d,ORGANIZATION,ASSOCIATED_WITH,E-93aba19c,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,True,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-005,de8cdb85-0887-44b1-8ebb-99450ca5b933,E-02699e2d,ORGANIZATION,ASSOCIATED_WITH,E-93aba19c,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,False,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-005,8da1814e-ed9a-42f5-b18e-7befc11c1c5b,E-da78eb57,PERSON,INVOLVED_IN,E-878d6478,PERSON,REJECTED,REJECTED,INVALID_PAIR,Target type 'netra:Person' invalid for 'netra:PARTICIPATED_IN'. Allowed: ['netra:Event'],False,True,True,False,REJECTED,LEGACY_FALSE_V1_FALSE
C-006,f7e59b18-300a-4103-9adf-239a7e7679ce,E-99c627d3,PERSON,ASSOCIATED_WITH,E-4ea1d9bf,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,True,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
