case_id,assertion_id,source,source_type,relationship,target,target_type,legacy_result,v1_result,legacy_reason,v1_reason,ontology_valid,evidence_supported,temporal_valid,contradiction_status,final_status,classification
C-002,bc328a27-e0e6-4087-be1e-b146b93ab002,E-d697c0b5,PERSON,ASSOCIATED_WITH,E-1cce2317,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,True,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-002,7b559577-b422-4dd5-b35b-d02d08554c66,E-d697c0b5,PERSON,ASSOCIATED_WITH,E-1cce2317,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,False,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-002,f0b7be4f-bcb2-4e8e-b0a4-4636f933948d,E-efba3695,PERSON,COMMUNICATES_WITH,E-8c8d8f16,PERSON,CONFIRMED,NEEDS_REVIEW,SUPPORTED,"ONTOLOGY_VALID, EVIDENCE_UNVERIFIED",True,False,True,False,NEEDS_REVIEW,LEGACY_TRUE_V1_FALSE
C-005,3e2adeb0-04f8-4185-898c-bff34c1b0cdd,E-02699e2d,ORGANIZATION,ASSOCIATED_WITH,E-93aba19c,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,True,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-005,de8cdb85-0887-44b1-8ebb-99450ca5b933,E-02699e2d,ORGANIZATION,ASSOCIATED_WITH,E-93aba19c,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,False,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-006,f7e59b18-300a-4103-9adf-239a7e7679ce,E-99c627d3,PERSON,ASSOCIATED_WITH,E-4ea1d9bf,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,True,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-006,02be8f26-17fd-494b-ba43-3321a4f03db2,E-99c627d3,PERSON,ASSOCIATED_WITH,E-4ea1d9bf,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,False,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-006,566ff0fb-0573-4d2a-bcc8-f58d750a5265,E-cadcf84f,PERSON,ASSOCIATED_WITH,E-41e081b5,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,True,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-006,f561c811-bd72-4b0c-bcae-5afa78b53f3e,E-cadcf84f,PERSON,ASSOCIATED_WITH,E-41e081b5,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,False,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-006,bb265ad3-e91f-4293-9d07-d07e631cd21e,E-cadcf84f,PERSON,LOCATED_AT,E-ff3604a0,LOCATION,CONFIRMED,NEEDS_REVIEW,SUPPORTED,"ONTOLOGY_VALID, EVIDENCE_UNVERIFIED",True,False,True,False,NEEDS_REVIEW,LEGACY_TRUE_V1_FALSE
C-008,2813c993-da86-4a1b-8e91-a0febac1654f,E-5176589c,ORGANIZATION,ASSOCIATED_WITH,E-582d0d41,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,True,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
